평가기준일,포착일,매수검토,매수품질,종합점수,종목명,티커,현재수익률 %,경과거래일,현재진입상태,섹터,섹터점수,섹터내순위,주봉상태,ATR20 %,기관적합,현재RS,시장상태,등급근거
2026-09-18,2026-09-15,우선검토,A,81.76,동아지질,028100,6.688068485821286,3,검토가능,건설,96.4,4.0,STRONG,3.4353059177532597,False,48.81481481481481,COUNTERTREND,섹터 96 / 대장 4위 / 주봉 STRONG / ATR 3.4%
2026-09-18,2026-09-14,우선검토,A,78.87,맵스리얼티,094800,5.795148247978443,4,검토가능,기타금융,67.4,1.0,STRONG,2.6369426751592355,False,60.59259259259259,COUNTERTREND,섹터 67 / 대장 1위 / 주봉 STRONG / ATR 2.6%
2026-09-18,2026-09-04,대기,A,71.53,피에스케이홀딩스,031980,11.04166666666666,10,검토가능,기계·장비,59.2,1.0,STRONG,8.3739837398374,True,91.14814814814815,COUNTERTREND,섹터 59 / 대장 1위 / 주봉 STRONG / ATR 8.4%
2026-09-18,2026-09-11,대기,B,80.12,IPARK현대산업개발,294870,-5.030181086519114,5,검토가능,건설,96.4,11.0,STRONG,3.2521186440677967,False,37.44444444444444,COUNTERTREND,섹터 96 / 대장 11위 / 주봉 STRONG / ATR 3.3%
2026-09-18,2026-08-28,대기,B,72.4,KPX케미칼,025000,0.35842293906809264,15,검토가능,화학,61.8,10.0,STRONG,2.3392857142857144,False,34.88888888888889,COUNTERTREND,섹터 62 / 대장 10위 / 주봉 STRONG / ATR 2.3%
2026-09-18,2026-08-27,대기,B,71.41,케이씨,029460,6.856403622250973,16,검토가능,의료·정밀기기,51.6,2.0,STRONG,4.9092009685230025,False,70.51851851851852,COUNTERTREND,섹터 52 / 대장 2위 / 주봉 STRONG / ATR 4.9%
2026-09-18,2026-09-04,대기,B,70.67,코메론,049430,0.44543429844097204,10,검토가능,의료·정밀기기,51.6,5.0,STRONG,4.399113082039912,False,86.77777777777777,COUNTERTREND,섹터 52 / 대장 5위 / 주봉 STRONG / ATR 4.4%
2026-09-18,2026-09-14,대기,B,69.77,디지털대성,068930,0.5649717514124353,4,검토가능,일반서비스,36.2,4.0,STRONG,2.1179775280898876,False,79.66666666666667,COUNTERTREND,섹터 36 / 대장 4위 / 주봉 STRONG / ATR 2.1%
2026-09-18,2026-09-01,대기,B,67.87,롯데렌탈,089860,-4.863813229571989,13,검토가능,일반서비스,36.2,10.0,STRONG,3.64519427402863,True,79.96296296296296,COUNTERTREND,섹터 36 / 대장 10위 / 주봉 STRONG / ATR 3.6%
2026-09-18,2026-08-25,대기,B,67.13,아모레퍼시픽,090430,0.06978367062107083,18,검토가능,화학,61.8,27.0,STRONG,4.089958158995816,True,43.0,COUNTERTREND,섹터 62 / 대장 27위 / 주봉 STRONG / ATR 4.1%
2026-09-18,2026-09-01,대기,B,66.97,현대퓨처넷,126560,-1.7518248175182438,13,검토가능,통신,55.60000000000001,2.0,STRONG,1.976225854383358,False,30.25925925925926,COUNTERTREND,섹터 56 / 대장 2위 / 주봉 STRONG / ATR 2.0%
2026-09-18,2026-09-02,대기,B,65.34,한진칼,180640,-0.21567217828900587,12,검토가능,기타금융,67.4,8.0,STRONG,5.720461095100864,True,49.370370370370374,COUNTERTREND,섹터 67 / 대장 8위 / 주봉 STRONG / ATR 5.7%
2026-09-18,2026-09-09,대기,B,64.97,HDC,012630,7.489878542510131,7,검토가능,기타금융,67.4,3.0,RECOVERING,4.585687382297552,False,51.407407407407405,COUNTERTREND,섹터 67 / 대장 3위 / 주봉 RECOVERING / ATR 4.6%
2026-09-18,2026-09-04,대기,B,64.07,인텍플러스,064290,16.43835616438356,10,추격주의,기계·장비,59.2,4.0,GOOD,8.882352941176471,True,91.33333333333333,COUNTERTREND,섹터 59 / 대장 4위 / 주봉 GOOD / ATR 8.9%
2026-09-18,2026-09-03,대기,B,63.87,한미사이언스,008930,-5.825242718446599,11,검토가능,기타금융,67.4,11.0,STRONG,9.211340206185566,True,62.0,COUNTERTREND,섹터 67 / 대장 11위 / 주봉 STRONG / ATR 9.2%
2026-09-18,2026-09-03,대기,B,63.46,삼양사,145990,-0.42194092827003704,11,검토가능,음식료·담배,43.0,9.0,STRONG,2.0921610169491527,False,26.333333333333336,COUNTERTREND,섹터 43 / 대장 9위 / 주봉 STRONG / ATR 2.1%
2026-09-18,2026-09-03,대기,B,63.44,세아제강,306200,1.4237288135593218,11,검토가능,금속,92.2,26.0,RECOVERING,3.689839572192513,False,37.85185185185185,COUNTERTREND,섹터 92 / 대장 26위 / 주봉 RECOVERING / ATR 3.7%
2026-09-18,2026-08-31,대기,B,62.64,하나금융지주,086790,-2.3477622890682337,14,검토가능,기타금융,67.4,15.0,WEAK,3.5424492862509394,True,49.96296296296297,COUNTERTREND,섹터 67 / 대장 15위 / 주봉 WEAK / ATR 3.5%
2026-09-18,2026-09-03,대기,B,62.05,한화생명,088350,-4.091653027823239,11,검토가능,보험,58.199999999999996,3.0,STRONG,5.639931740614335,True,66.0,COUNTERTREND,섹터 58 / 대장 3위 / 주봉 STRONG / ATR 5.6%
2026-09-18,2026-09-09,대기,B,61.61,키다리스튜디오,020120,5.778894472361817,7,검토가능,IT 서비스,30.0,2.0,STRONG,9.994061757719715,False,91.5925925925926,COUNTERTREND,섹터 30 / 대장 2위 / 주봉 STRONG / ATR 10.0%
2026-09-18,2026-09-16,대기,B,61.15,타이거일렉,219130,-3.7433155080213942,2,검토가능,전기·전자,68.60000000000001,71.0,GOOD,7.055555555555555,False,90.96296296296296,COUNTERTREND,섹터 69 / 대장 71위 / 주봉 GOOD / ATR 7.1%
2026-09-18,2026-08-27,대기,B,60.53,심텍,222800,-0.9456264775413725,16,검토가능,전기·전자,68.60000000000001,69.0,GOOD,7.531821797931583,True,91.44444444444444,COUNTERTREND,섹터 69 / 대장 69위 / 주봉 GOOD / ATR 7.5%
2026-09-18,2026-08-25,대기,B,60.19,오킨스전자,080580,14.432989690721643,18,추격주의,전기·전자,68.60000000000001,17.0,RECOVERING,8.0,False,88.92592592592592,COUNTERTREND,섹터 69 / 대장 17위 / 주봉 RECOVERING / ATR 8.0%
2026-09-18,2026-09-18,대기,B,60.09,계룡건설,013580,0.0,0,검토가능,건설,96.4,21.0,RECOVERING,4.0,False,32.96296296296296,COUNTERTREND,섹터 96 / 대장 21위 / 주봉 RECOVERING / ATR 4.0%
2026-09-18,2026-09-10,대기,B,58.55,삼천리,004690,-4.420289855072468,6,검토가능,전기·가스,66.19999999999999,4.0,RECOVERING,2.3862774829416225,False,25.11111111111111,COUNTERTREND,섹터 66 / 대장 4위 / 주봉 RECOVERING / ATR 2.4%
2026-09-18,2026-08-28,대기,B,58.15,한일시멘트,300720,-3.539823008849563,15,검토가능,비금속,71.2,8.0,RECOVERING,2.9908256880733943,False,24.62962962962963,COUNTERTREND,섹터 71 / 대장 8위 / 주봉 RECOVERING / ATR 3.0%
2026-09-18,2026-08-24,대기,B,58.13,세아홀딩스,058650,-1.6591251885369585,19,검토가능,금속,92.2,45.0,RECOVERING,2.9447852760736195,False,24.48148148148148,COUNTERTREND,섹터 92 / 대장 45위 / 주봉 RECOVERING / ATR 2.9%
2026-09-18,2026-09-07,대기,B,57.85,티씨케이,064760,0.0,9,검토가능,비금속,71.2,7.0,RECOVERING,7.048417132216015,True,83.81481481481482,COUNTERTREND,섹터 71 / 대장 7위 / 주봉 RECOVERING / ATR 7.0%
