최초 EARLY일,티커,종목명,시장,최초 EARLY가,최신일,최신가,EARLY후 수익률 %,최대수익 %,최대낙폭 %,경과 거래일,EARLY 상태,현재 단계,시장상태,RS,RS 가속,MTT,최초 LEADER일,최초 SETUP일,최초 BUY일,최초 BUY가,BUY 승격
2026-09-09,204270,제이앤티씨,KOSDAQ,21200.0,2026-09-09,21200.0,0.0,0.0,0.0,0,FRESH,EARLY_LEADER,COUNTERTREND,84.49775784753363,5.105381165919283,False,,,,,False
2026-09-09,181710,NHN,KOSPI,57800.0,2026-09-09,57800.0,0.0,0.0,0.0,0,FRESH,EARLY_LEADER,COUNTERTREND,80.28026905829596,-8.878923766816158,False,,,,,False
2026-09-09,122640,예스티,KOSDAQ,31350.0,2026-09-09,31350.0,0.0,0.0,0.0,0,FRESH,SETUP,COUNTERTREND,86.16255605381166,0.7399103139013334,False,,2026-09-09,,,False
2026-09-09,052690,한전기술,KOSPI,143100.0,2026-09-09,143100.0,0.0,0.0,0.0,0,FRESH,EARLY_LEADER,COUNTERTREND,46.20739910313901,30.44730941704036,False,,,,,False
2026-09-09,036930,주성엔지니어링,KOSDAQ,206500.0,2026-09-09,206500.0,0.0,0.0,0.0,0,FRESH,EARLY_LEADER,COUNTERTREND,95.5964125560538,0.7029147982062653,False,,,,,False
2026-09-09,010580,에스엠벡셀,KOSPI,2540.0,2026-09-09,2540.0,0.0,0.0,0.0,0,FRESH,EARLY_LEADER,COUNTERTREND,72.73318385650224,52.68161434977578,False,,,,,False
2026-09-08,089590,제주항공,KOSPI,4970.0,2026-09-09,4865.0,-2.1126760563380254,0.0,-2.1126760563380254,1,FRESH,INACTIVE,,,,,,,,,False
2026-09-07,192650,드림텍,KOSPI,6450.0,2026-09-09,6290.0,-2.4806201550387597,0.0,-4.1860465116279055,2,FRESH,INACTIVE,,,,,,,,,False
2026-09-04,272450,진에어,KOSPI,6140.0,2026-09-09,6150.0,0.16286644951140072,5.863192182410426,0.0,3,FRESH,INACTIVE,,,,,,,2026-09-04,6140.0,True
2026-09-04,064290,인텍플러스,KOSDAQ,40150.0,2026-09-09,44950.0,11.955168119551685,11.955168119551685,0.0,3,FRESH,LEADER,COUNTERTREND,92.45179372197309,1.5168161434977634,True,2026-09-07,,2026-09-04,40150.0,True
2026-09-04,039030,이오테크닉스,KOSDAQ,443000.0,2026-09-09,470000.0,6.094808126410833,6.094808126410833,0.0,3,FRESH,LEADER,COUNTERTREND,87.82735426008968,1.5908071748878854,False,2026-09-09,2026-09-04,,,False
2026-09-04,00088K,한화3우B,KOSPI,41200.0,2026-09-09,43600.0,5.825242718446599,5.825242718446599,0.0,3,FRESH,BUY,COUNTERTREND,36.73654708520179,9.43385650224215,False,,2026-09-04,2026-09-09,43600.0,True
2026-09-03,139130,iM금융지주,KOSPI,19050.0,2026-09-09,18210.0,-4.409448818897643,0.0,-4.881889763779523,4,FRESH,INACTIVE,,,,,,,,,False
2026-09-03,000210,DL,KOSPI,55000.0,2026-09-09,56000.0,1.8181818181818077,1.8181818181818077,-2.5454545454545507,4,FRESH,INACTIVE,,,,,,,,,False
2026-09-02,119850,지엔씨에너지,KOSDAQ,41850.0,2026-09-09,48300.0,15.412186379928317,15.412186379928317,0.0,5,NORMAL,LEADER,COUNTERTREND,88.53026905829597,0.8139013452914838,True,2026-09-04,,,,False
2026-09-02,092870,엑시콘,KOSDAQ,31050.0,2026-09-09,27100.0,-12.721417069243158,5.152979066022545,-13.043478260869568,5,FRESH,INACTIVE,,,,,2026-09-04,,,,False
2026-09-02,018000,유니슨,KOSDAQ,1265.0,2026-09-09,1231.0,-2.687747035573118,0.0,-2.687747035573118,5,FRESH,INACTIVE,,,,,,,,,False
2026-09-02,003160,디아이,KOSPI,30600.0,2026-09-09,31200.0,1.9607843137254832,2.12418300653594,-1.3071895424836555,5,FRESH,EARLY_LEADER,COUNTERTREND,60.37668161434978,-17.313901345291484,False,,,,,False
2026-09-01,064550,바이오니아,KOSDAQ,11000.0,2026-09-09,9800.0,-10.909090909090914,0.0,-10.909090909090914,6,FRESH,INACTIVE,,,,,,,,,False
2026-09-01,002380,KCC,KOSPI,493500.0,2026-09-09,503000.0,1.9250253292806496,1.9250253292806496,-2.8368794326241176,6,FRESH,INACTIVE,,,,,,2026-09-01,,,False
2026-08-31,481070,에이유브랜즈,KOSDAQ,20550.0,2026-09-09,16250.0,-20.92457420924574,0.0,-20.92457420924574,7,FRESH,INACTIVE,,,,,,,,,False
2026-08-31,373220,LG에너지솔루션,KOSPI,378000.0,2026-09-09,371000.0,-1.851851851851849,0.0,-8.06878306878307,7,FRESH,INACTIVE,,,,,,,2026-08-31,378000.0,True
2026-08-31,151860,KG에코솔루션,KOSDAQ,5620.0,2026-09-09,5530.0,-1.6014234875444844,0.5338078291814874,-3.7366548042704673,7,FRESH,INACTIVE,,,,,,,,,False
2026-08-31,086450,동국제약,KOSDAQ,22250.0,2026-09-09,19740.0,-11.2808988764045,0.0,-11.2808988764045,7,FRESH,INACTIVE,,,,,,,,,False
2026-08-28,415640,KB발해인프라,KOSPI,10450.0,2026-09-09,10410.0,-0.3827751196172291,1.6267942583731987,-0.7655502392344471,8,FRESH,INACTIVE,,,,,,,,,False
2026-08-28,009410,태영건설,KOSPI,1693.0,2026-09-09,1701.0,0.4725339633786074,0.945067926757237,-2.0673360897814574,8,FRESH,INACTIVE,,,,,,,,,False
2026-08-27,451800,한화리츠,KOSPI,5280.0,2026-09-09,5300.0,0.37878787878788955,2.6515151515151603,-2.840909090909094,9,FRESH,INACTIVE,,,,,,,,,False
